,state,Question-asked,State,Health percent -Mean,Health percent - Median,Health percent -Variance,Health percent-Std-Dev,Health percent -Standard Error,average,standard deviation,Highest value in 2017,date of highest value,primary exceedence
0,Alabama,Percent of adults aged 18 years and older who have an overweight classification,Alabama,33.792,33.3,13.667433333333323,3.696949192690281,0.7393898385380562,20.71261,8.622241,40.8,2017-01-31 18:00,0.0
1,Alabama,Percent of adults aged 18 years and older who have an overweight classification,Alabama,33.792,33.3,13.667433333333323,3.696949192690281,0.7393898385380562,8.974158,7.739944,40.8,2017-01-31 18:00,
2,Alabama,Percent of adults aged 18 years and older who have an overweight classification,Alabama,33.792,33.3,13.667433333333323,3.696949192690281,0.7393898385380562,23.389298,9.298161,50.8,2017-10-20 17:00,0.0
3,Alabama,Percent of adults aged 18 years and older who have an overweight classification,Alabama,33.792,33.3,13.667433333333323,3.696949192690281,0.7393898385380562,11.458696,8.414054,50.8,2017-10-20 17:00,
4,Alabama,Percent of adults aged 18 years and older who have obesity,Alabama,37.176,37.1,33.045233333333336,5.748498354643005,1.1496996709286011,20.71261,8.622241,40.8,2017-01-31 18:00,0.0
5,Alabama,Percent of adults aged 18 years and older who have obesity,Alabama,37.176,37.1,33.045233333333336,5.748498354643005,1.1496996709286011,8.974158,7.739944,40.8,2017-01-31 18:00,
6,Alabama,Percent of adults aged 18 years and older who have obesity,Alabama,37.176,37.1,33.045233333333336,5.748498354643005,1.1496996709286011,23.389298,9.298161,50.8,2017-10-20 17:00,0.0
7,Alabama,Percent of adults aged 18 years and older who have obesity,Alabama,37.176,37.1,33.045233333333336,5.748498354643005,1.1496996709286011,11.458696,8.414054,50.8,2017-10-20 17:00,
8,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),Alabama,42.492000000000004,42.8,31.24743333333333,5.58994036938976,1.117988073877952,20.71261,8.622241,40.8,2017-01-31 18:00,0.0
9,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),Alabama,42.492000000000004,42.8,31.24743333333333,5.58994036938976,1.117988073877952,8.974158,7.739944,40.8,2017-01-31 18:00,
